benchmark_mode,objective_type,experiment_group,ansatz_type,gate_set,encoding_type,entanglement_topology,entangler_type,cost_type,n_qubits,reference_depth,depth,budget_normalization,layer_id,qubit_id,gate_type,axis_id,param_index,param_id,n_seeds,param_grad_mean,param_grad_variance_across_seeds,param_mean_abs_grad,param_near_zero_ratio
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,4,RX,0,12,layer_000_wire_004_RX,3,0.050215222195796015,0.009551409770673334,0.07817952321284394,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,4,RY,1,13,layer_000_wire_004_RY,3,-0.09294849198956598,0.004437658181221504,0.09294849198956597,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,4,RZ,2,14,layer_000_wire_004_RZ,3,7.416262405250709e-20,6.228472679469298e-35,5.392630971205658e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,5,RX,0,15,layer_000_wire_005_RX,3,-0.0031677195149643483,0.018084277643637847,0.10010508536017193,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,5,RY,1,16,layer_000_wire_005_RY,3,0.06130466759193376,0.00727104527079312,0.07945081294660468,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,linear,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,5,RZ,2,17,layer_000_wire_005_RZ,3,-9.373588442635044e-18,4.102795005948112e-35,9.373588442635045e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,0,RX,0,0,layer_000_wire_000_RX,3,-0.001097121639233033,3.1857376891329487e-06,0.001097121639233033,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,0,RY,1,1,layer_000_wire_000_RY,3,5.6031158712901985e-05,6.38030926935072e-07,0.0005452102473743337,0.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,0,RZ,2,2,layer_000_wire_000_RZ,3,2.4228236673172915e-17,9.52004532786296e-34,2.484913508677447e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,1,RX,0,3,layer_000_wire_001_RX,3,-1.214306433183765e-17,3.340284747296612e-34,1.6768993601109134e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,1,RY,1,4,layer_000_wire_001_RY,3,-9.25185853854297e-18,2.5679065925163148e-34,9.25185853854297e-18,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,1,RZ,2,5,layer_000_wire_001_RZ,3,1.1671846109845626e-17,9.016414038929329e-35,1.1671846109845624e-17,1.0
random_bp,expectation_value,bcw_6q_random_bp,hea,RX_RY_RZ_CNOT,none,circular,cnot,hamiltonian_local,6,1,1,same_entangling_gate_count,0,2,RX,0,6,layer_000_wire_002_RX,3,-0.11262989879430234,0.0071529955716893145,0.11262989879430234,0.0
